home,away
TB,DAL
IND,SEA
WSH,LAC
HOU,JAX
CIN,MIN
CAR,NYJ
BUF,PIT
ATL,PHI
TEN,ARI
DET,SF
NYG,DEN
NE,MIA
KC,CLE
NO,GB
LAR,CHI
OAK,BAL
WSH,NYG
CHI,CIN
MIA,BUF
JAX,DEN
PIT,OAK
PHI,SF
CAR,NO
NYJ,NE
IND,LAR
CLE,HOU
ARI,MIN
TB,ATL
SEA,TEN
LAC,DAL
BAL,KC
GB,DET
HOU,CAR
CLE,CHI
NE,NO
TEN,IND
PIT,CIN
JAX,ARI
BUF,WSH
NYG,ATL
KC,LAC
DET,BAL
OAK,MIA
DEN,NYJ
MIN,SEA
LAR,TB
SF,GB
DAL,PHI
CIN,JAX
DAL,CAR
BUF,HOU
ATL,WSH
CHI,DET
MIN,CLE
PHI,KC
NYJ,TEN
MIA,IND
NO,NYG
SF,SEA
LAR,ARI
DEN,BAL
GB,PIT
NE,TB
LAC,OAK
SEA,LAR
ATL,NYJ
WSH,NO
PIT,DEN
TB,MIA
MIN,DET
CAR,PHI
CIN,GB
HOU,NE
JAX,TEN
OAK,CHI
LAC,CLE
ARI,SF
DAL,NYG
KC,BUF
BAL,IND
PHI,TB
JAX,MIA
BAL,LAC
IND,HOU
NYG,LAR
WSH,KC
CAR,MIN
DET,CIN
CHI,GB
CLE,ARI
DEN,OAK
NE,DAL
PIT,SEA
TEN,BUF
CLE,DEN
NE,NYJ
MIA,ATL
TEN,KC
BAL,CIN
GB,WSH
NYG,CAR
OAK,PHI
LAR,DET
ARI,HOU
TB,CHI
SF,IND
SEA,NO
ARI,GB
IND,TEN
NYJ,CIN
HOU,LAR
CLE,PIT
BUF,MIA
CHI,SF
ATL,CAR
DET,PHI
SEA,JAX
LAC,NE
DEN,WSH
NO,TB
MIN,DAL
KC,NYG
IND,NYJ
CAR,NE
MIA,HOU
JAX,BUF
BAL,MIN
DAL,DEN
CIN,CLE
NYG,OAK
NO,ATL
PHI,LAC
KC,GB
SF,ARI
LAR,TEN
PIT,CHI
MIA,BAL
WSH,TB
NE,CLE
IND,JAX
NYJ,BUF
PIT,DET
TEN,NO
DAL,ATL
ARI,CAR
LAC,MIN
GB,SEA
DEN,PHI
OAK,KC
SF,LAR
ATL,NE
CLE,DET
PHI,NO
NYJ,MIA
CHI,BAL
BUF,IND
CAR,WSH
JAX,SF
TEN,HOU
MIN,GB
OAK,CIN
SEA,ARI
KC,DAL
LAC,PIT
TB,NYG
DET,CHI
DAL,OAK
NO,BUF
IND,TB
JAX,ATL
HOU,NYJ
NE,TEN
NYG,PHI
CIN,PIT
MIA,CAR
DEN,LAC
SF,MIN
GB,LAR
BAL,CLE
WSH,SEA
NO,DAL
CIN,LAC
MIA,NYG
CHI,ARI
NYJ,PHI
HOU,IND
ATL,TB
DET,MIN
KC,DEN
OAK,WSH
PIT,BAL
LAR,JAX
SEA,SF
BUF,NE
MIN,PIT
HOU,SEA
CIN,SF
NYJ,NO
CAR,ATL
WSH,DAL
TEN,JAX
KC,OAK
CLE,BAL
DEN,DET
LAC,NYG
TB,BUF
GB,CHI
ARI,LAR
LAC,KC
BUF,CAR
MIA,NYJ
PHI,WSH
CLE,OAK
IND,NE
PIT,TEN
NYG,DAL
JAX,HOU
BAL,GB
DET,ARI
SF,ATL
DEN,CIN
LAR,SEA
TB,NO
CHI,MIN
TEN,SF
GB,CLE
ARI,IND
CIN,BAL
NE,BUF
PHI,NYG
NYJ,JAX
HOU,LAC
CAR,TB
MIN,LAR
ATL,DET
SEA,CHI
OAK,DEN
KC,PIT
DAL,WSH
NO,MIA
DAL,ARI
NE,JAX
WSH,PHI
BUF,ATL
TEN,MIA
NO,CAR
CIN,KC
NYJ,TB
IND,OAK
CHI,NYG
LAC,DEN
SF,HOU
BAL,LAR
SEA,DET
GB,MIN
PIT,CLE
ATL,NO
CLE,CIN
BUF,NYJ
TB,CAR
JAX,IND
HOU,TEN
PHI,DAL
BAL,PIT
MIN,CHI
NYG,WSH
DET,GB
MIA,NE
OAK,LAC
ARI,SEA
DEN,KC
LAR,SF
